PROJID,PROJNAME,STATENUM,FEDNUM,REGION,LOCATION,PROJMAN,PHONENUM,ANTADVDT,DESCRIPTION,ADDLINFO,ENGEST
SAMHS00302,AMHS SYSTEM WIDE UPLANDS IMPROVEMENTS,SAMHS00302,9500156,Southcoast Region,Regionwide,Loren K Gehring,(907)465-8189,October 2022,"Make improvements to AMHS owned and operated ferry terminal buildings and upland facilities to extend their service life and maintain functionality. There are 21 State owned and operated AMHS terminals and 16 terminal buildings in the system. Building improvements would include: interior and exterior improvements, roof replacements, exterior door replacements, bathroom renovations, and heating system improvements. Uplands improvements would include: Electrical system improvements for uplands lighting and marine terminal power, lighting improvements, and pedestrian and parking improvements.   
Design work anticipated to be accomplished under this program and separate projects will be established for the construction phase.
",,
SFHWY00070,KTN SAYLES/GORGE ST VIADUCT (#1841) IMPRVMT,SFHWY00070,3225,Southcoast Region,Ketchikan,Kirk D Miller,(907)465-1215,October 2022,"This project will replace or rehabilitate the Sayles/Gorge Street Viaduct (#1841).
",,"Between $2,500,000 and $5,000,000"
SFHWY00278,HNH HARBOR WAY PEDESTRIAN IMP & PITT ISLAND CEMETERY WALKWY,SFHWY00278,3255,Southcoast Region,Hoonah,Bran P Pollard,(907)465-4526,November 2022,The Hoonah Harbor Way Pedestrian Improvements & Pitt Island Cemetery Walkway project is designed to address two major issues for the community: 1) Provide safe and reliable access to the community's cemetery on Pitt Island; and 2) Alleviate tourist-related pedestrian congestion in the harbor area. The City of Hoonah plans to construct a 6-foot wide sidewalk/walkway from the Hoonah city center out to Pitt Island and the community cemetery. This 0.8 mile project will start at the intersection of Front Street and Harbor Way and end on Pitt Island. Approximately 0.5 miles of the sidewalk/walkway will be built atop the US Army Corps of Engineers' breakwater and a 175-foot long gangway will be installed from the shore to the breakwater.,,"Between $5,000,000 and $10,000,000"
SFAPT00234,HNS AIRPORT RESURFACING,SFAPT00234,N/A,Southcoast Region,Haines,David A Pyeatt,(907)465-4490,November 2022,"The project will rehabilitate the Haines Airport runway and taxiways. Construction activities include, reclimation of paved surfaced, construction of a new taxilane, drainage modification, electrical and lighting replacement, constructing a new access point for the public helipad, and constructing a SREB foundation pad,","The project schedule and budget are being re-developed as the scope has changed. A SREB building is being added to the project. Also, a white paper may be required to justify keeping the 100' width of the runway.","Between $20,000,000 and $30,000,000"
Z681370000,HNS AIRPORT SRE BUILDING,Z681370000,N/A,Southcoast Region,Haines,David A Pyeatt,(907)465-4490,November 2022,"This is an FAA funded project which involves the construction of a new 50' x 90' sand, chemical, and snow removal equipment storage building with adjacent parking lot at the location shown in the Haines Airport Master Plan.  The work required would include but not limited to site prep, drainage, lighting, building construction, and surfacing.",,
SAMHS00301,AMHS SYSTEM WIDE MOORING STRUCTURE IMPROVEMENTS,SAMHS00301,9500155,Southcoast Region,Regionwide,Loren K Gehring,(907)465-8189,December 2022,"Make improvements to AMHS ferry terminal transfer bridges at various locations Statewide to extend their service life and maintain functionality. AMHS relies on 25 different vehicle transfer bridges for its operations. Improvements would include: bridge and float blast cleaning and repainting, weld crack repairs, floor beam strengthening, girder redundancy modifications, utility improvements, bridge and apron lift system improvements, and bridge transition improvements. 
Design work anticipated to be accomplished under this program and separate projects will be established for the construction phase.
",,"Between $5,000,000 and $10,000,000"
Z686060000,HNS HWY RECONSTRUCTION MILEPOST 20-25.0,Z686060000,956028,Southcoast Region,Haines,Gregory K Lockwood,(907)465-2393,December 2022,Reconstruction of Haines Highway from Milepost 20 to 25 including the Chilkat River bridge.,Reconstruct the Haines Highway from milepost 20.0 to 25.0 including the Chilkat River Bridge is the next and final phase to advertise,"Between $30,000,000 and $40,000,000"
SFAPT00227,"KDK: ADQ AIRPORT APRON AND TWY C, D AND F REHAB",SFAPT00227,N/A,Southcoast Region,Kodiak,David A Pyeatt,(907)465-4490,December 2022,"ADQ airport ARFF Access improvements and Rehabilitation of Taxiway C, D and F.  Project includes the non-private portion of the Apron.",,"Between $30,000,000 and $40,000,000"
Z687130000,KODIAK: OTMELOI WAY REHABILITATION,Z687130000,N/A,Southcoast Region,Kodiak,David A Pyeatt,(907)465-4490,December 2022,"Reconstruct and pave Otmeloi Way, including pedestrian improvements",,
SFAPT00178,UNALASKA TAXIWAY AND APRON REHABILITATION,SFAPT00178,N/A,Southcoast Region,Unalaska,Gregory K Lockwood,(907)465-2393,December 2022,"Begin preliminary design for the Unalaska airport apron and taxiway rehabilitation.  For the  terminal apron: mill 2 inches of the existing AC pavement and repair underlying PCC.  Repave with 2 inches hot mix asphalt.  For the hanger apron:  repair PCC surface and joints and overlay with 2 inches of hot mix asphalt.
",Rehabilitate the airport apron and taxiway apron.,"Between $5,000,000 and $10,000,000"
